iter	Passed	Remaining
0	76	7587
1	83	4089
2	89	2898
3	95	2301
4	101	1926
5	107	1684
6	112	1500
7	117	1356
8	123	1244
9	128	1155
10	134	1086
11	139	1026
12	145	973
13	151	928
14	156	887
15	161	849
16	167	817
17	173	790
18	178	762
19	183	735
20	190	716
21	196	694
22	201	673
23	206	654
24	212	636
25	217	619
26	222	602
27	228	586
28	233	572
29	239	559
30	245	546
31	250	531
32	255	518
33	260	506
34	265	493
35	270	481
36	275	469
37	281	458
38	286	447
39	291	436
40	296	426
41	301	416
42	307	407
43	312	397
44	317	388
45	323	379
46	328	370
47	334	362
48	339	353
49	344	344
50	349	335
51	354	327
52	359	318
53	364	310
54	369	302
55	375	294
56	380	287
57	385	279
58	390	271
59	395	263
60	400	256
61	406	248
62	411	241
63	417	234
64	422	227
65	427	220
66	433	213
67	439	206
68	444	199
69	450	192
70	455	186
71	460	179
72	466	172
73	471	165
74	476	158
75	481	152
76	486	145
77	491	138
78	496	131
79	507	126
80	511	120
81	516	113
82	521	106
83	528	100
84	534	94
85	539	87
86	544	81
87	549	74
88	554	68
89	559	62
90	564	55
91	570	49
92	575	43
93	580	37
94	585	30
95	591	24
96	597	18
97	602	12
98	607	6
99	613	0
